CGC_HOSP,data_dia,num_internacoes,CNES,COD_CEP,Logradouro,Numero,Status_Busca_CNES,Endereco
29468055000706,2015-03-09,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-13,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-20,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-03-31,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-02,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-03,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-04,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-09,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-13,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-04-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-02,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-03,22,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-04,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-09,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-11,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-13,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-18,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-19,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-27,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-05-31,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-02,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-03,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-04,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-09,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-10,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-13,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-25,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-06-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-02,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-03,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-04,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-09,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-13,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-15,11,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-07-31,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-02,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-03,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-04,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-09,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-13,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-30,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-08-31,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-01,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-02,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-03,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-04,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-05,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-06,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-07,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-08,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-09,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-10,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-11,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-12,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-13,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-14,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-15,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-16,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-17,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-18,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-19,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-20,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-21,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-22,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-23,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-24,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-25,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-26,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-27,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-28,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
29468055000706,2015-09-29,0,2270390,21360201,AV MIN EDGARD ROMERO,276,Encontrado,"AV MIN EDGARD ROMERO, 276"
